Community Area Name,unemployment,poverty rate,population,pop aged 25 without hsd,asian_pop,black_pop,hispanic_pop,white_pop,other_pop,pci
Rogers Park,0.075,0.227,53346,0.182,0.043227234,0.238012222,0.240355416,0.448543471,0.029861658,23939
West Ridge,0.079,0.151,77074,0.208,0.214754651,0.128681527,0.202117446,0.408801931,0.045644446,23040
Uptown,0.077,0.227,55042,0.118,0.106009956,0.178354711,0.158315468,0.526470695,0.03084917,35787
Lincoln Square,0.068,0.095,47927,0.134,0.103094289,0.068124439,0.176914891,0.610991717,0.040874664,37524
North Center,0.045,0.071,36157,0.045,0.044804602,0.086622231,0.099648754,0.730232044,0.038692369,57123
Lake View,0.047,0.105,103194,0.026,0.076089695,0.028838886,0.092553831,0.770694033,0.031823556,60058
Lincoln Park,0.045,0.118,66409,0.036,0.068048006,0.046183499,0.079778343,0.779020916,0.026969236,71551
Near North Side,0.052,0.134,98908,0.025,0.104096736,0.113701622,0.09646338,0.663444817,0.022293444,88669
Edison Park,0.074,0.051,11296,0.074,0.030187677,0.05391289,0.102160057,0.788243626,0.025495751,40959
Norwood Park,0.073,0.059,33597,0.115,0.031014674,0.004673036,0.109622883,0.822513915,0.032175492,32875
Jefferson Park,0.09,0.064,28129,0.134,0.088769597,0.005830282,0.209072487,0.678090227,0.018237406,27751
Forest Glen,0.055,0.061,18694,0.049,0.103776613,0.013747727,0.135551514,0.722798759,0.024125388,44164
North Park,0.075,0.124,12970,0.144,0.191595991,0.017039322,0.220663069,0.548650732,0.022050887,26576
Albany Park,0.09,0.171,50724,0.329,0.163492627,0.045303998,0.463133822,0.301592934,0.026476619,21323
Portage Park,0.106,0.123,72635,0.193,0.053665588,0.022895298,0.424671302,0.470365526,0.028402285,24336
Irving Park,0.103,0.108,54655,0.224,0.086908792,0.025633519,0.422248651,0.431945842,0.033263196,27249
Dunning,0.086,0.083,43483,0.162,0.05027252,0.019156912,0.298277488,0.626221742,0.006071338,26282
Montclaire,0.108,0.128,7384,0.235,0.037107259,0.029523294,0.505687974,0.415763814,0.01191766,22014
Belmont Cragin,0.115,0.186,80256,0.373,0.02053429,0.045716208,0.76657197,0.158131479,0.009046053,15461
Hermosa,0.129,0.191,28097,0.416,0.031391252,0.021319002,0.766879026,0.170836744,0.009573976,15089
Avondale,0.093,0.146,32991,0.247,0.034282077,0.024430905,0.595071383,0.322875936,0.023339699,20039
Logan Square,0.075,0.172,76675,0.148,0.031418324,0.055115748,0.417411151,0.474209325,0.021845452,31908
Humboldt Park,0.123,0.326,45598,0.354,0.021229001,0.255844555,0.606188868,0.092482126,0.02425545,13781
West Town,0.06,0.157,83868,0.129,0.038500978,0.126579864,0.254411695,0.553739209,0.026768255,43198
Austin,0.21,0.27,95817,0.244,0.008098772,0.743375393,0.169374954,0.068495152,0.010655729,15957
West Garfield Park,0.252,0.403,19514,0.245,0.002254791,0.949010966,0.018960746,0.023265348,0.006508148,10934
East Garfield Park,0.164,0.397,21468,0.213,0.00633501,0.8745109,0.055850568,0.049422396,0.013881125,12961
Near West Side,0.107,0.216,62874,0.096,0.131389764,0.297213475,0.175684703,0.372554633,0.023157426,44689
