Sub-Borough Area,unemployment,poverty rate,population,pop aged 25 without hsd,asian_pop,black_pop,hispanic_pop,white_pop,other_pop,median income
Astoria,0.059342,0.1492574,171100,0.1407454,0.1540992,0.06773874,0.2671116,0.4805032,0.03054726,64569.48051
Bay Ridge,0.06059384,0.1636294,123691,0.1828812,0.2507286,0.02017294,0.1717664,0.5353526,0.02197946,68877.27333
Bayside / Little Neck,0.045744,0.0802871,117271,0.1177731,0.43891,0.01958692,0.11696526,0.4014302,0.02310762,83002.87339
Bedford Stuyvesant,0.08707842,0.2841572,145895,0.1792338,0.032716,0.494498,0.18702,0.2622436,0.0235224,48657.07822
Bensonhurst,0.06799798,0.1842792,191525,0.256549,0.403927,0.010736728,0.1586542,0.404201,0.022481072,53834.77753
Borough Park,0.05092554,0.3063428,153649,0.227408,0.1440288,0.02306118,0.10956998,0.7033042,0.02003584,47807.80444
Brooklyn Heights / Fort Greene,0.0651007,0.1636822,139668,0.09982972,0.09353012,0.2428062,0.14628,0.472623,0.04476068,96179.5961
Brownsville / Ocean Hill,0.13132878,0.3489508,118907,0.2349174,0.013644446,0.7178558,0.224885,0.02780372,0.015811034,28351.88456
Bushwick,0.0766864,0.2719806,132069,0.271946,0.05224738,0.1769008,0.5546598,0.1934044,0.02278762,49451.05391
Central Harlem,0.09269838,0.2583268,141895,0.1854866,0.03745964,0.542326,0.2464168,0.1430804,0.03071716,48008.00249
Chelsea / Clinton / Midtown,0.04666284,0.1276452,153441,0.0552375,0.1747782,0.0517054,0.1411578,0.6003788,0.0319798,106038.1964
Coney Island,0.08623274,0.2585116,117141,0.1840346,0.132289748,0.108222552,0.17270191,0.559700907,0.027084884,38775.65077
East Flatbush,0.06904276,0.1499034,140486,0.1335472,0.01458427,0.8704948,0.07060132,0.02585656,0.01846305,52658.90619
East Harlem,0.09274406,0.3375278,125108,0.2620104,0.07429674,0.2924948,0.4760142,0.1373182,0.01987606,34626.18585
East New York / Starret City,0.07494906,0.2652706,164606,0.2004028,0.04087882,0.5163486,0.3844004,0.03788834,0.02048384,38582.43497
Elmhurst / Corona,0.04784116,0.1782778,144389,0.2799508,0.3347878,0.06387074,0.5196582,0.06120104,0.02048222,49555.73314
Flatbush,0.06680124,0.1908144,162668,0.1663768,0.10665326,0.3116156,0.152576,0.3995092,0.02964594,56417.77049
Flatlands / Canarsie,0.06307824,0.10583836,208591,0.114495,0.04953544,0.6232468,0.08566566,0.2233686,0.0181835,74673.30106
Flushing / Whitestone,0.04322118,0.1612454,249857,0.2350336,0.5435414,0.02006942,0.1755574,0.2416072,0.01922458,54181.357
Greenwich Village / Financial District,0.03737784,0.07761928,153396,0.04635426,0.1567496,0.02206416,0.0624307,0.7235946,0.03516094,140896.2227
Highbridge / S. Concourse,0.10450334,0.3540272,146789,0.3401944,0.014045386,0.2888856,0.6569142,0.02135538,0.018799434,31236.3323
Hillcrest / Fresh Meadows,0.08089604,0.1288946,163193,0.136681,0.336426,0.1185904,0.198557,0.3036312,0.0427954,66776.88834
Jackson Heights,0.05246048,0.1525266,177384,0.2834134,0.1668392,0.05069976,0.660359,0.1068397,0.01526234,57551.0894
Jamaica,0.09412584,0.1277124,246424,0.1878602,0.1320602,0.614868,0.156259,0.01755116,0.07926164,62211.85308
Kingsbridge Heights / Mosholu,0.11925852,0.312984,136400,0.3061136,0.05451414,0.1392936,0.7196808,0.06060116,0.0259103,35910.95971
Lower East Side / Chinatown,0.06217126,0.2678198,158337,0.2595782,0.3183178,0.07688128,0.2427622,0.3365058,0.02553292,44608.92483
Middle Village / Ridgewood,0.0512518,0.10596356,186606,0.1540756,0.08494304,0.014070236,0.3675844,0.5174822,0.015920124,73049.00783
Mid-Island,0.04912838,0.10899594,137478,0.1144256,0.1367834,0.04282134,0.1382918,0.661047,0.02105646,83661.65114
Morningside Heights / Hamilton Heights,0.06537558,0.2435958,134004,0.1942022,0.09109818,0.2166378,0.3749568,0.2807168,0.03659042,52353.21779
Morrisania / East Tremont,0.137997,0.3921686,177349,0.3515142,0.010961322,0.3061052,0.6285064,0.0438102,0.010616878,26061.74393
Mott Haven / Hunts Point,0.1209962,0.4083178,163773,0.3891362,0.006969026,0.2897252,0.6700324,0.022448182,0.010825192,25069.69555
North Crown Heights / Prospect Heights,0.06672234,0.2202114,134186,0.1544286,0.0420748,0.5763708,0.121468,0.2249678,0.0351186,56094.01468
North Shore,0.05298488,0.2002584,174560,0.159116,0.09136474,0.2123754,0.301798,0.3670986,0.02736326,65995.32978
Kew Gardens / Woodhaven,0.06271482,0.1355048,153027,0.2187048,0.262332,0.05591486,0.4270658,0.1766938,0.07799354,69146.61743
Park Slope / Carroll Gardens,0.05300656,0.09653856,117733,0.07432554,0.0708909,0.07178694,0.155628,0.647858,0.05383616,122773.2502
Pelham Parkway,0.09592432,0.1967254,127818,0.220705,0.08281876,0.2120814,0.45794,0.225989,0.02117084,51714.61255
Bellerose / Rosedale,0.07003968,0.0791629,201365,0.1245106,0.1567894,0.5575366,0.12510432,0.10570338,0.0548663,86881.62506
Forest Hills / Rego Park,0.04546754,0.1093261,116918,0.07555122,0.2928526,0.0303619,0.149408,0.487521,0.0398565,75349.27509
Riverdale / Kingsbridge,0.08128838,0.1903064,112239,0.1792254,0.04450236,0.1347924,0.4763302,0.3194354,0.02493964,59373.73034
Rockaways,0.08793582,0.1972826,123529,0.2094624,0.03917264,0.3611658,0.2425322,0.334423,0.02270636,53523.63771
Sheepshead Bay / Gravesend,0.0639243,0.1577694,154679,0.1509264,0.1792586,0.0389331,0.10132192,0.6522706,0.02821578,60832.80167
Soundview / Parkchester,0.10330034,0.2755818,186503,0.2835696,0.08436466,0.291589,0.5654206,0.03055116,0.02807458,40602.15688
South Crown Heights,0.08106696,0.189581,111894,0.1367068,0.02170318,0.6367068,0.0886868,0.2271908,0.02571242,52577.24317
Howard Beach / S. Ozone Park,0.07447234,0.12117172,134872,0.228529,0.2475516,0.1335188,0.2508514,0.2198194,0.1482588,73387.84867
Stuyvesant Town / Turtle Bay,0.0355102,0.08653582,143668,0.03283818,0.1638044,0.03468572,0.07923952,0.6961498,0.02612056,119425.5859
Sunnyside / Woodside,0.04175276,0.10910854,140416,0.181304,0.3642364,0.01451018,0.3175642,0.2793132,0.02437602,66655.17865
Sunset Park,0.05951276,0.24837,145813,0.3882838,0.324881,0.0232214,0.393167,0.2387576,0.019973,55643.02125
Throgs Neck / Co-op City,0.07562662,0.1208296,116230,0.1604692,0.027250352,0.286730727,0.382997828,0.2818794,0.021141693,58661.66246
University Heights / Fordham,0.12422204,0.3952118,140006,0.353334,0.011290318,0.2693196,0.6952664,0.01099276,0.013130922,27691.19689
Upper East Side,0.02810316,0.0613559,214832,0.02393,0.1052805,0.0234247,0.09420026,0.751033,0.02606154,123174.8622
Upper West Side,0.0461617,0.09759478,194010,0.05010246,0.09413844,0.05694512,0.1387292,0.6817308,0.02845644,118213.3161
Washington Heights / Inwood,0.09294204,0.2106492,224898,0.2804418,0.0298878,0.08045664,0.683003,0.1893284,0.01732416,52977.54067
Williamsbridge / Baychester,0.10001764,0.180555,143416,0.20321,0.02965406,0.6504416,0.2282532,0.0665224,0.02512874,53188.5639
Williamsburg / Greenpoint,0.0513486,0.227584,160655,0.1631714,0.06933844,0.04444374,0.2248482,0.6344936,0.02687602,73680.12901
